0x41aa80,0x28e837c85a80
0x41a249,0xfdfd3a8f6740
0x41b315,0xfdfd3a8e8b80
0x418b09,0xfdfd3a8fe500
0x418c31,0xfdfd3a8f0980
0x418f51,0xa213218c1c0
0x4194ba,0xfdfd3a8e7c40
0x4194ba,0xfdfd3a8e7cc0
0x418ac7,0xa213218b380
0x419d7a,0xfdfd3a8ebc80
0x418c1a,0xfdfd3a8f8980
0x418ac7,0xa213218b540
0x41b3ba,0xfdfd3a8f1c40
0x418cc3,0xfdfd3a8ecd80
0x41a249,0xfdfd3a8f6c00
0x418f51,0xa213218c640
0x418b5f,0xfdfd3a9008c0
0x418bf2,0xfdfd3a8f3d00
0x41b3ba,0xfdfd3a8f1e00
0x4194ba,0xa2132195100
0x418a9c,0xa21321898c8
0x4194e7,0xa2132191340
0x418b5f,0xfdfd3a900980
0x419da5,0xa21321931c0
0x4194e7,0xa2132191380
0x419981,0xfdfd3a8edfc0
0x418c31,0xfdfd3a8f0f80
0x418c5a,0xfdfd3a8f2e80
0x418c5a,0xfdfd3a8f2ec0
0x4194ba,0xa2132195240
0x418b09,0xfdfd3a8febc0
0x418bb8,0xfdfd3a8fdc40
0x419d7a,0xa2132199100
0x419632,0xa213218d780
0x41aece,0xfdfd3a8fbd80
0x41996a,0xfdfd3a8f4f80
0x418e42,0xa21321925c0
0x419cad,0xa213218e800
0x418b09,0xfdfd3a8fed40
0x41b315,0xa2132196400
0x41901e,0xfdfd3a901c40
0x418c1a,0xfdfd3a8f8fc0
0x418bf2,0xa21321a10c0
0x418b71,0xfdfd3a8f9f88
0x418c4c,0xa21321a0188
0x419d9b,0xa2132193548
0x418b5f,0xfdfd3a900d40
0x419247,0xa21321a3100
0x41aece,0xfdfd3a8fbf40
0x418bf2,0xa21321a1180
0x41b181,0xa21321a5100
0x418ac7,0xa213218bc80
0x418cc3,0xa213219a4c0
0x419a83,0xa2132194700
0x41931b,0xa213219c500
0x419615,0xa2132190980
0x418b77,0xa21321a7200
0x418c31,0xa213219e500
0x41b181,0xa21321a5300
0x41b315,0xa2132196740
0x418f51,0xa213218cd80
0x41996a,0xa21321a23c0
0x418b77,0xa21321a7280
0x418c1a,0xa21321a6380
0x418afe,0xa21321ac1c8
0x418bb8,0xa21321ab380
0x4194e7,0xa2132191c40
0x418c1a,0xa21321a6580
0x41b5d1,0xa2132198980
0x41996a,0xa21321a2740
0x41b181,0xa21321a5700
0x419632,0xa213218dfc0
0x418bb8,0xa21321ab540
0x418f51,0xa21321b31c0
0x41a249,0xa21321a47c0
0x4194e7,0xa2132191e00
0x418c5a,0xa21321a08c0
0x41a73b,0xa21321b1340
0x41b315,0xa2132196c00
0x41a717,0xa21321b1388
0x419da5,0xa2132193d00
0x418e42,0xa2132192e80
0x418c5a,0xa21321a0980
0x418e42,0xa2132192ec0
0x419cad,0xa21321b5100
0x418b09,0xa21321ac640
0x419615,0xa2132190f80
0x418c31,0xa213219ebc0
0x419cad,0xa21321b5240
0x41b2fa,0xa213219dc40
0x4197b6,0xa21321a98c0
0x41abc4,0xa21321ad780
0x41b181,0xa21321a5a80
0x418ac7,0xa21321b25c0
0x418e42,0xa21321b9100
0x418b77,0xa21321a7a00
0x419a83,0xa2132194f80
0x418f51,0xa21321b3540
0x419981,0xa213219bd80
0x418c31,0xa213219ed40
0x418b5f,0xa21321ae800
0x418bec,0xa21321a1c48
0x418f3a,0xa21321b6400
0x418c5a,0xa21321a0d40
0x419d7a,0xa2132199f80
0x41b5d1,0xa2132198fc0
0x419981,0xa213219bf40
0x41aece,0xa21321a8b80
0x418b77,0xa21321a7c40
0x418ab4,0xa21321b0980
0x418b77,0xa21321a7cc0
0x418cc3,0xa21321c10c0
0x419632,0xa21321b4700
0x418bb8,0xa21321abc80
0x41931b,0xa21321c3100
0x419d7a,0xa21321c0180
0x418c31,0xa21321c5100
0x418cc3,0xa21321c1180
0x418f3a,0xa21321b6740
0x418b09,0xa21321acd80
0x419da5,0xa21321ba4c0
0x4194ba,0xa21321bc500
0x41a73b,0xa21321b1c40
0x418c31,0xa21321c5300
0x418c5a,0xa21321c7200
0x419981,0xa21321c23c0
0x418c5a,0xa21321c7280
0x418c8a,0xa21321be500
0x41b181,0xa21321cc1c0
0x41b3ba,0xa21321c6380
0x41a73b,0xa21321b1e00
0x41abc4,0xa21321adfc0
0x418f51,0xa21321b3d00
0x4194e7,0xa21321b8980
0x41a249,0xa21321cb380
0x418ab4,0xa21321b0f80
0x418ac7,0xa21321b2e80
0x418ac7,0xa21321b2ec0
0x418f3a,0xa21321b6c00
0x41b3ba,0xa21321c6580
0x418b09,0xa21321d31c0
0x418b5f,0xa21321d5100
0x419981,0xa21321c2740
0x418c31,0xa21321c5700
0x41922d,0xa21321d1340
0x41a249,0xa21321cb540
0x41922d,0xa21321d1380
0x41b2fa,0xa21321c47c0
0x418b5f,0xa21321d5240
0x418ac7,0xa21321d9100
0x419d7a,0xa21321c08c0
0x41b181,0xa21321cc640
0x419d7a,0xa21321c0980
0x419632,0xa21321b4f80
0x418b09,0xa21321d3540
0x418bb8,0xa21321d25c0
0x41901e,0xa21321d6400
0x418c1a,0xa21321cd780
0x41b315,0xa21321bdc40
0x418c8a,0xa21321bebc0
0x41996a,0xa21321c98c0
0x418c31,0xa21321c5a80
0x418b77,0xa21321ce800
0x418c5a,0xa21321c7a00
0x419a83,0xa21321bbd80
0x418e42,0xa21321b9f80
0x4194e7,0xa21321b8fc0
0x418cc3,0xa21321c1c40
0x418c8a,0xa21321bed40
0x41abc4,0xa21321d4700
0x419d7a,0xa21321c0d40
0x418f51,0xa21321da4c0
0x418939,0xa21321bbf40
0x418bf2,0xa21321c8b80
0x41901e,0xa21321d6740
0x4197b6,0xa21321d0980
0x418c5a,0xa21321c7c40
0x418e42,0xa21321e0180
0x418c5a,0xa21321c7cc0
0x419da5,0xa21321e10c0
0x41a249,0xa21321cbc80
0x419cad,0xa21321dc500
0x4194ba,0xa21321e3100
0x419da5,0xa21321e1180
0x418c8a,0xa21321e5100
0x41b181,0xa21321ccd80
0x41922d,0xa21321d1c40
0x41a73b,0xa21321d8980
0x419615,0xa21321de500
0x419a83,0xa21321e23c0
0x419d7a,0xa21321e7200
0x418b09,0xa21321d3d00
0x418c8a,0xa21321e5300
0x418c31,0xa21321ec1c0
0x41901e,0xa21321d6c00
0x41922d,0xa21321d1e00
0x419d7a,0xa21321e7280
0x418c1a,0xa21321cdfc0
0x418bb8,0xa21321d2e80
0x41b5d1,0xa21321e6380
0x418bb8,0xa21321d2ec0
0x4197b6,0xa21321d0f80
0x41b2fa,0xa21321eb380
0x41b181,0xa21321f31c0
0x418b77,0xa21321f5100
0x41abc4,0xa21321d4f80
0x41b5d1,0xa21321e6580
0x418e42,0xa21321e08c0
0x419a83,0xa21321e2740
0x418bb8,0xa21321f9100
0x419247,0xa21321f1340
0x41b2fa,0xa21321eb540
0x418b77,0xa21321f5240
0x419247,0xa21321f1380
0x418e42,0xa21321e0980
0x418c8a,0xa21321e5700
0x41b315,0xa21321e47c0
0x418f3a,0xa21321ddc40
0x418c31,0xa21321ec640
0x41a73b,0xa21321d8fc0
0x418ac7,0xa21321d9f80
0x419632,0xa21321dbd80
0x419615,0xa21321debc0
0x41b181,0xa21321f3540
0x41aece,0xa21321f6400
0x41a249,0xa21321f25c0
0x41b3a4,0xa21321ed788
0x419981,0xa21321e98c0
0x418ac7,0xa2132200180
0x418f51,0xa21322010c0
0x419615,0xa21321ded40
0x419632,0xa21321dbf40
0x418c5a,0xa21321ee800
0x418c8a,0xa21321e5a80
0x418e42,0xa21321e0d40
0x418b09,0xa21321fa4c0
0x419d7a,0xa21321e7a00
0x418f51,0xa2132201180
0x418c1a,0xa21321f4700
0x419da5,0xa21321e1c40
0x418b5f,0xa21321fc500
0x419cad,0xa2132203100
0x41aece,0xa21321f6740
0x418ab4,0xa21321fe500
0x418cc3,0xa21321e8b80
0x41996a,0xa21321f0980
0x419d7a,0xa21321e7c40
0x419d7a,0xa21321e7cc0
0x419615,0xa2132205100
0x41b2fa,0xa21321ebc80
0x419632,0xa21322023c0
0x41922d,0xa21321f8980
0x418c31,0xa21321ecd80
0x418e42,0xa2132207200
0x419247,0xa21321f1c40
0x418e42,0xa2132207280
0x419615,0xa2132205300
0x41b181,0xa21321f3d00
0x4194e7,0xa2132206380
0x41aea2,0xa21321f6c08
0x418ac7,0xa21322008c0
0x419247,0xa21321f1e00
0x418c8a,0xa213220c1c0
0x41b3ba,0xa21321edfc0
0x41a249,0xa21321f2e80
0x418ac7,0xa2132200980
0x419632,0xa2132202740
0x41a249,0xa21321f2ec0
0x41996a,0xa21321f0f80
0x4194e7,0xa2132206580
0x41b315,0xa213220b380
0x418f3a,0xa21322047c0
0x418ab4,0xa21321febc0
0x418c31,0xa21322131c0
0x418c1a,0xa21321f4f80
0x418c5a,0xa2132215100
0x41901e,0xa21321fdc40
0x419615,0xa2132205700
0x41abc4,0xa21321fbd80
0x41a249,0xa2132219100
0x41931b,0xa2132211340
0x41b315,0xa213220b540
0x41931b,0xa2132211380
0x418a9c,0xa21321fed48
0x418c4c,0xa2132215248
0x418bb8,0xa21321f9f80
0x41922d,0xa21321f8fc0
0x418f51,0xa2132201c40
0x418ac7,0xa2132200d40
0x41abc4,0xa21321fbf40
0x418c8a,0xa213220c640
0x418b09,0xa21322210c0
0x418c31,0xa2132213540
0x418bb8,0xa2132220180
0x418bf2,0xa2132216400
0x41b2fa,0xa21322125c0
0x418e42,0xa2132207a00
0x419615,0xa2132205a80
0x418b09,0xa2132221180
0x419a83,0xa21322098c0
0x418b5f,0xa2132223100
0x41b5d1,0xa213220d780
0x41b181,0xa213221a4c0
0x418a9c,0xa2132225108
0x419d7a,0xa213220e800
0x41b3ba,0xa2132214700
0x418b77,0xa213221c500
0x418e42,0xa2132207c40
0x418e42,0xa2132207cc0
0x4197b6,0xa213221e500
0x418bf2,0xa2132216740
0x419da5,0xa2132208b80
0x41abc4,0xa21322223c0
0x418ab4,0xa2132225300
0x418ac7,0xa2132227200
0x419981,0xa2132210980
0x418ac7,0xa2132227280
0x41a73b,0xa2132226380
0x41b315,0xa213220bc80
0x419247,0xa2132218980
0x41931b,0xa2132211c40
0x418c8a,0xa213220cd80
0x41a73b,0xa2132226580
0x41abc4,0xa2132222740
0x418bb8,0xa21322208c0
0x418ab4,0xa2132225700
0x418c31,0xa2132213d00
0x419615,0xa213222c1c0
0x418f3a,0xa213222b380
0x418bb8,0xa2132220980
0x418bf2,0xa2132216c00
0x41901e,0xa21322247c0
0x41931b,0xa2132211e00
0x41b2fa,0xa2132212e80
0x41b2fa,0xa2132212ec0
0x41b5d1,0xa213220dfc0
0x418f3a,0xa213222b540
0x419981,0xa2132210f80
0x4197b6,0xa213221ebc0
0x41aece,0xa213221dc40
0x418c1a,0xa213221bd80
0x41b3ba,0xa2132214f80
0x418c8a,0xa21322331c0
0x419d7a,0xa2132235100
0x418ab4,0xa2132225a80
0x418b09,0xa2132221c40
0x4197b6,0xa213221ed40
0x41b2fa,0xa2132239100
0x4194ba,0xa2132231340
0x418ac7,0xa2132227a00
0x4194ba,0xa2132231380
0x418bb8,0xa2132220d40
0x41a249,0xa2132219f80
0x419247,0xa2132218fc0
0x419d7a,0xa2132235240
0x419615,0xa213222c640
0x418c1a,0xa213221bf40
0x419632,0xa21322298c0
0x41b181,0xa21322410c0
0x4194e7,0xa213222d780
0x418ac7,0xa2132227c40
0x418f51,0xa2132228b80
0x41a249,0xa2132240180
0x418cc3,0xa2132236400
0x41b181,0xa2132241180
0x41b315,0xa21322325c0
0x418ac7,0xa2132227cc0
0x418c8a,0xa2132233540
0x418e42,0xa213222e800
0x418b77,0xa2132243100
0x4197b6,0xa2132245100
0x418c31,0xa213223a4c0
0x418ba6,0xa2132247208
0x418c4c,0xa213223c508
0x41b5cc,0xa2132234708
0x418c1a,0xa21322423c0
0x418f3a,0xa213222bc80
0x418bb8,0xa2132247280
0x4197b6,0xa2132245300
0x41996a,0xa213223e500
0x418cc3,0xa2132236740
0x419a83,0xa2132230980
0x41922d,0xa2132246380
0x418ab4,0xa213224c1c0
0x419615,0xa213222cd80
0x41931b,0xa2132238980
0x41901e,0xa213224b380
0x41922d,0xa2132246580
0x418c10,0xa2132242748
0x4194ba,0xa2132231c40
0x4197b6,0xa2132245700
0x41a249,0xa21322408c0
0x41901e,0xa213224b540
0x41aece,0xa21322447c0
0x41a249,0xa2132240980
0x4194e7,0xa213222dfc0
0x418c8a,0xa2132233d00
0x418cc3,0xa2132236c00
0x4194ba,0xa2132231e00
0x418ab4,0xa213224c640
0x41b315,0xa2132232e80
0x41b315,0xa2132232ec0
0x418e42,0xa2132255100
0x419cad,0xa2132251340
0x419a83,0xa2132230f80
0x419615,0xa21322531c0
0x419cad,0xa2132251380
0x41996a,0xa213223ebc0
0x418bf2,0xa213223dc40
0x41abc4,0xa21322498c0
0x418bb8,0xa2132247a00
0x41a73b,0xa213224d780
0x41b3ba,0xa213223bd80
0x418e42,0xa2132255240
0x4197b6,0xa2132245a80
0x41b181,0xa2132241c40
0x41b5d1,0xa2132234f80
0x41996a,0xa213223ed40
0x41b315,0xa2132259100
0x418ac7,0xa213224e800
0x41a249,0xa2132240d40
0x41b2fa,0xa2132239f80
0x41931b,0xa2132238fc0
0x418f3a,0xa21322525c0
0x41b3ba,0xa213223bf40
0x418b09,0xa2132248b80
0x418bb8,0xa2132247c40
0x419615,0xa2132253540
0x418bb8,0xa2132247cc0
0x418c31,0xa21322610c0
0x419d9b,0xa2132256408
0x41b2fa,0xa2132260180
0x418c31,0xa2132261180
0x418c5a,0xa2132263100
0x41901e,0xa213224bc80
0x41996a,0xa2132265100
0x4194e7,0xa2132254700
0x419632,0xa2132250980
0x418c8a,0xa213225a4c0
0x418ab4,0xa213224cd80
0x41a249,0xa2132267200
0x419d7a,0xa213225c500
0x41b3ba,0xa21322623c0
0x41a249,0xa2132267280
0x419da5,0xa2132256740
0x41996a,0xa2132265300
0x419981,0xa213225e500
0x419247,0xa2132266380
0x4197b6,0xa213226c1c0
0x419cad,0xa2132251c40
0x41a73b,0xa213224dfc0
0x41aece,0xa213226b380
0x4194ba,0xa2132258980
0x419247,0xa2132266580
0x419cad,0xa2132251e00
0x418ab4,0xa21322731c0
0x41b3ba,0xa2132262740
0x418ac7,0xa2132275100
0x418f3a,0xa2132252e80
0x419615,0xa2132253d00
0x418f3a,0xa2132252ec0
0x41996a,0xa2132265700
0x41b2fa,0xa21322608c0
0x418b52,0xa2132271348
0x41aea2,0xa213226b548
0x419632,0xa2132250f80
0x418b5f,0xa2132271380
0x418ac7,0xa2132275240
0x418bf2,0xa21322647c0
0x419da5,0xa2132256c00
0x41b2fa,0xa2132260980
0x4197b6,0xa213226c640
0x418f3a,0xa2132279100
0x4194e7,0xa2132254f80
0x418ab4,0xa2132273540
0x418c1a,0xa21322698c0
0x41922d,0xa213226d780
0x419981,0xa213225ebc0
0x41901e,0xa21322725c0
0x418cc3,0xa213225dc40
0x418f51,0xa2132276400
0x41a249,0xa2132267a00
0x418bb8,0xa213226e800
0x41996a,0xa2132265a80
0x418c31,0xa2132261c40
0x41b5cc,0xa213225bd88
0x419981,0xa213225ed40
0x41b2fa,0xa2132260d40
0x41b315,0xa2132259f80
0x4194ba,0xa2132258fc0
0x41a73b,0xa2132274700
0x41b181,0xa2132268b80
0x41a249,0xa2132267c40
0x41b5d1,0xa213225bf40
0x41abc4,0xa2132270980
0x41a249,0xa2132267cc0
0x418f51,0xa2132276740
0x418c8a,0xa21322810c0
0x41b315,0xa2132280180
0x418c8a,0xa2132281180
0x41aece,0xa213226bc80
0x419615,0xa213227a4c0
0x419d6b,0xa2132283108
0x419981,0xa2132285100
0x418e42,0xa213227c500
0x4197b6,0xa213226cd80
0x418b5f,0xa2132271c40
0x41b2fa,0xa2132287200
0x41b2fa,0xa2132287280
0x419a83,0xa213227e500
0x419981,0xa2132285300
0x41b5d1,0xa21322823c0
0x418ab4,0xa2132273d00
0x419cad,0xa2132278980
0x41931b,0xa2132286380
0x41996a,0xa213228c1c0
0x418b5f,0xa2132271e00
0x41922d,0xa213226dfc0
0x418f51,0xa2132276c00
0x41901e,0xa2132272e80
0x41901e,0xa2132272ec0
0x41abc4,0xa2132270f80
0x418bb8,0xa2132295100
0x418bf2,0xa213228b380
0x41931b,0xa2132286580
0x4197b6,0xa21322931c0
0x41a73b,0xa2132274f80
0x418b77,0xa2132291340
0x418bb8,0xa2132295240
0x41b5d1,0xa2132282740
0x418b77,0xa2132291380
0x419981,0xa2132285700
0x41b315,0xa21322808c0
0x418bf2,0xa213228b540
0x41901e,0xa2132299100
0x418cc3,0xa21322847c0
0x41b315,0xa2132280980
0x41996a,0xa213228c640
0x418b09,0xa2132296400
0x4197b6,0xa2132293540
0x4194e7,0xa213227bd80
0x419247,0xa213228d780
0x419a83,0xa213227ebc0
0x41aece,0xa21322925c0
